Team ID,Team,Week,Player,Position,Points
2,Show Me Your TDs,1,Christian McCaffrey,RB,27.700000000000003
2,Show Me Your TDs,1,Stefon Diggs,WR,15.9
2,Show Me Your TDs,1,Calvin Ridley,WR,10.100000000000001
2,Show Me Your TDs,1,David Montgomery,RB,18.8
2,Show Me Your TDs,1,Logan Thomas,TE,12.0
2,Show Me Your TDs,1,Aaron Rodgers,QB,1.3200000000000003
2,Show Me Your TDs,1,Brandin Cooks,WR,18.200000000000003
2,Show Me Your TDs,1,Commanders D/ST,DEF,1.0
2,Show Me Your TDs,1,Younghoe Koo,K,6.0
2,Show Me Your TDs,1,,Total Points,111.02
10,Dillon Durden,1,Dalvin Cook,RB,20.400000000000002
10,Dillon Durden,1,Ezekiel Elliott,RB,5.9
10,Dillon Durden,1,A.J. Brown,WR,14.9
10,Dillon Durden,1,Terry McLaurin,WR,10.2
10,Dillon Durden,1,Diontae Johnson,WR,14.6
10,Dillon Durden,1,Josh Allen,QB,17.200000000000003
10,Dillon Durden,1,Noah Fant,TE,12.2
10,Dillon Durden,1,Patriots D/ST,DEF,7.0
10,Dillon Durden,1,Graham Gano,K,1.0
10,Dillon Durden,1,,Total Points,103.4
5,Thou Shenault Win ,1,Saquon Barkley,RB,3.7
5,Thou Shenault Win ,1,Najee Harris,RB,5.9
5,Thou Shenault Win ,1,Chris Godwin,WR,23.5
5,Thou Shenault Win ,1,Robert Woods,WR,12.399999999999999
5,Thou Shenault Win ,1,Kyle Pitts,TE,7.1
5,Thou Shenault Win ,1,Lamar Jackson,QB,18.0
5,Thou Shenault Win ,1,Jerry Jeudy,WR,13.2
5,Thou Shenault Win ,1,Chiefs D/ST,DEF,0.0
5,Thou Shenault Win ,1,Tyler Bass,K,11.0
5,Thou Shenault Win ,1,,Total Points,94.8
1,The Good Lookin Kitchen,1,Derrick Henry,RB,10.700000000000001
1,The Good Lookin Kitchen,1,Austin Ekeler,RB,11.7
1,The Good Lookin Kitchen,1,Darren Waller,TE,26.5
1,The Good Lookin Kitchen,1,CeeDee Lamb,WR,23.4
1,The Good Lookin Kitchen,1,Tyler Lockett,WR,26.0
1,The Good Lookin Kitchen,1,Raheem Mostert,RB,2.0
1,The Good Lookin Kitchen,1,Kirk Cousins,QB,22.04
1,The Good Lookin Kitchen,1,Rams D/ST,DEF,8.0
1,The Good Lookin Kitchen,1,Ryan Succop,K,7.0
1,The Good Lookin Kitchen,1,,Total Points,137.34
6,Michael Canter,1,Tyreek Hill,WR,37.1
6,Michael Canter,1,Aaron Jones,RB,4.2
6,Michael Canter,1,Keenan Allen,WR,19.0
6,Michael Canter,1,Miles Sanders,RB,17.3
6,Michael Canter,1,Robert Tonyan,TE,2.8
6,Michael Canter,1,Dak Prescott,QB,27.42
6,Michael Canter,1,Broncos D/ST,DEF,7.0
6,Michael Canter,1,Brandon McManus,K,9.0
6,Michael Canter,1,Peyton Barber,RB,0.0
6,Michael Canter,1,,Total Points,123.82
7,Green Bowl Packers,1,Travis Kelce,TE,25.6
7,Green Bowl Packers,1,Joe Mixon,RB,25.000000000000004
7,Green Bowl Packers,1,James Robinson,RB,8.4
7,Green Bowl Packers,1,Allen Robinson II,WR,9.5
7,Green Bowl Packers,1,Adam Thielen,WR,30.200000000000003
7,Green Bowl Packers,1,Damien Harris,RB,11.7
7,Green Bowl Packers,1,Justin Herbert,QB,13.38
7,Green Bowl Packers,1,Ravens D/ST,DEF,-1.0
7,Green Bowl Packers,1,Matt Gay,K,12.0
7,Green Bowl Packers,1,,Total Points,134.78
3,Ted Spradley,1,DeAndre Hopkins,WR,26.3
3,Ted Spradley,1,Jonathan Taylor,RB,17.6
3,Ted Spradley,1,Justin Jefferson,WR,12.540000000000001
3,Ted Spradley,1,DJ Moore,WR,15.4
3,Ted Spradley,1,Josh Jacobs,RB,17.0
3,Ted Spradley,1,Russell Wilson,QB,27.06
3,Ted Spradley,1,T.J. Hockenson,TE,25.700000000000003
3,Ted Spradley,1,Harrison Butker,K,10.0
3,Ted Spradley,1,Buccaneers D/ST,DEF,-3.0
3,Ted Spradley,1,,Total Points,148.6
4,Alex Moran,1,Davante Adams,WR,10.600000000000001
4,Alex Moran,1,Clyde Edwards-Helaire,RB,10.2
4,Alex Moran,1,George Kittle,TE,11.8
4,Alex Moran,1,Chris Carson,RB,12.7
4,Alex Moran,1,Kyler Murray,QB,33.56
4,Alex Moran,1,Tee Higgins,WR,15.8
4,Alex Moran,1,Robby Anderson,WR,12.7
4,Alex Moran,1,Michael Thomas,WR,0.0
4,Alex Moran,1,Steelers D/ST,DEF,13.0
4,Alex Moran,1,Justin Tucker,K,11.0
4,Alex Moran,1,,Total Points,131.36
8,Old(er) Kitchen,1,Nick Chubb,RB,22.1
8,Old(er) Kitchen,1,Antonio Gibson,RB,11.8
8,Old(er) Kitchen,1,Mike Evans,WR,5.4
8,Old(er) Kitchen,1,Amari Cooper,WR,38.9
8,Old(er) Kitchen,1,Cooper Kupp,WR,23.8
8,Old(er) Kitchen,1,Tom Brady,QB,27.16
8,Old(er) Kitchen,1,Dallas Goedert,TE,14.2
8,Old(er) Kitchen,1,Bills D/ST,DEF,4.0
8,Old(er) Kitchen,1,Jason Sanders,K,6.0
8,Old(er) Kitchen,1,,Total Points,153.36
9,Trevor Howard,1,Alvin Kamara,RB,18.1
9,Trevor Howard,1,DK Metcalf,WR,16.0
9,Trevor Howard,1,Patrick Mahomes,QB,33.28
9,Trevor Howard,1,Mark Andrews,TE,5.0
9,Trevor Howard,1,Julio Jones,WR,5.9
9,Trevor Howard,1,Chase Edmonds,RB,14.600000000000001
9,Trevor Howard,1,Chase Claypool,WR,10.0
9,Trevor Howard,1,49ers D/ST,DEF,7.0
9,Trevor Howard,1,Jason Myers,K,4.0
9,Trevor Howard,1,,Total Points,113.88
1,The Good Lookin Kitchen,2,Derrick Henry,RB,47.7
1,The Good Lookin Kitchen,2,Austin Ekeler,RB,22.5
1,The Good Lookin Kitchen,2,Darren Waller,TE,11.5
1,The Good Lookin Kitchen,2,CeeDee Lamb,WR,17.4
1,The Good Lookin Kitchen,2,Tyler Lockett,WR,31.8
1,The Good Lookin Kitchen,2,Darrell Henderson Jr.,RB,17.200000000000003
1,The Good Lookin Kitchen,2,Kirk Cousins,QB,25.259999999999998
1,The Good Lookin Kitchen,2,Rams D/ST,DEF,6.0
1,The Good Lookin Kitchen,2,Ryan Succop,K,6.0
1,The Good Lookin Kitchen,2,,Total Points,185.36
7,Green Bowl Packers,2,Travis Kelce,TE,23.9
7,Green Bowl Packers,2,Joe Mixon,RB,8.1
7,Green Bowl Packers,2,Allen Robinson II,WR,10.4
7,Green Bowl Packers,2,Adam Thielen,WR,15.9
7,Green Bowl Packers,2,Damien Harris,RB,13.399999999999999
7,Green Bowl Packers,2,Odell Beckham Jr.,WR,0.0
7,Green Bowl Packers,2,Courtland Sutton,WR,24.9
7,Green Bowl Packers,2,Justin Herbert,QB,14.719999999999999
7,Green Bowl Packers,2,Matt Gay,K,9.0
7,Green Bowl Packers,2,Browns D/ST,DEF,5.0
7,Green Bowl Packers,2,Evan Engram,TE,0.0
7,Green Bowl Packers,2,,Total Points,125.32
4,Alex Moran,2,Davante Adams,WR,20.1
4,Alex Moran,2,Clyde Edwards-Helaire,RB,2.6000000000000005
4,Alex Moran,2,George Kittle,TE,5.7
4,Alex Moran,2,Chris Carson,RB,15.1
4,Alex Moran,2,Kyler Murray,QB,33.1
4,Alex Moran,2,Tee Higgins,WR,16.0
4,Alex Moran,2,Michael Thomas,WR,0.0
4,Alex Moran,2,Steelers D/ST,DEF,-1.0
4,Alex Moran,2,Justin Tucker,K,7.0
4,Alex Moran,2,Elijah Mitchell,RB,7.300000000000001
4,Alex Moran,2,,Total Points,105.9
2,Show Me Your TDs,2,Christian McCaffrey,RB,24.7
2,Show Me Your TDs,2,Stefon Diggs,WR,16.0
2,Show Me Your TDs,2,Calvin Ridley,WR,19.3
2,Show Me Your TDs,2,David Montgomery,RB,10.900000000000002
2,Show Me Your TDs,2,Logan Thomas,TE,9.5
